wavelength_nm,x_bar,y_bar,z_bar
501,0.00377717,0.338402,0.258817
502,0.00294532,0.354686,0.246484
503,0.00242488,0.371699,0.234772
504,0.00223629,0.389288,0.223453
505,0.0024,0.4073,0.2123
506,0.00292552,0.42563,0.201169
507,0.00383656,0.44431,0.19012
508,0.00517484,0.463394,0.179225
509,0.00698208,0.48294,0.168561
510,0.0093,0.503,0.1582
511,0.0121495,0.523569,0.148138
512,0.0155359,0.544512,0.138376
513,0.0194775,0.56569,0.128994
514,0.0239928,0.586965,0.120075
515,0.0291,0.6082,0.1117
516,0.0348149,0.629346,0.103905
517,0.0411202,0.650307,0.0966675
518,0.047985,0.670875,0.0899827
519,0.0553786,0.690842,0.0838453
520,0.06327,0.71,0.07825
521,0.071635,0.728185,0.073209
522,0.0804622,0.745464,0.0686782
523,0.08974,0.761969,0.0645678
524,0.0994565,0.777837,0.0607883
525,0.1096,0.7932,0.05725
526,0.120167,0.80811,0.0539043
527,0.131114,0.822496,0.0507466
528,0.142368,0.836307,0.0477528
529,0.153854,0.849492,0.0448986
530,0.1655,0.862,0.04216
531,0.177257,0.873811,0.0395073
532,0.18914,0.884962,0.0369356
533,0.201169,0.895494,0.0344584
534,0.213366,0.905443,0.0320887
535,0.22575,0.91485,0.02984
536,0.238321,0.923735,0.0277118
537,0.251067,0.932092,0.0256944
538,0.263992,0.939923,0.0237872
539,0.277102,0.947225,0.0219892
540,0.2904,0.954,0.0203
541,0.303891,0.960256,0.018718
542,0.317573,0.966007,0.0172404
543,0.331438,0.971261,0.0158636
544,0.345483,0.976023,0.0145846
545,0.3597,0.9803,0.0134
546,0.374084,0.984092,0.0123072
547,0.38864,0.987418,0.0113019
548,0.403378,0.990313,0.0103779
549,0.418312,0.992812,0.00952931
550,0.43345,0.99495,0.00875
551,0.448795,0.996711,0.0080352
552,0.464336,0.998098,0.0073816
553,0.480064,0.999112,0.0067854
554,0.495971,0.999748,0.0062428
555,0.51205,1,0.00575
556,0.528296,0.999857,0.0053036
557,0.544692,0.999305,0.0048998
558,0.561209,0.998325,0.0045342
559,0.577821,0.996899,0.0042024
560,0.5945,0.995,0.0039
561,0.611221,0.9926,0.0036232
562,0.627976,0.989743,0.0033706
563,0.64476,0.986444,0.0031414
564,0.66157,0.982724,0.0029348
565,0.6784,0.9786,0.00275
566,0.695239,0.974084,0.0025852
567,0.712059,0.969171,0.0024386
568,0.728828,0.963857,0.0023094
569,0.745519,0.958135,0.0021968
570,0.7621,0.952,0.0021
571,0.778543,0.94545,0.00201773
572,0.794826,0.938499,0.0019482
573,0.810926,0.931163,0.0018898
574,0.826825,0.923458,0.00184093
575,0.8425,0.9154,0.0018
576,0.857932,0.907006,0.00176627
577,0.873082,0.898277,0.0017378
578,0.887894,0.889205,0.0017112
579,0.902318,0.879782,0.00168307
580,0.9163,0.87,0.00165
581,0.9298,0.859861,0.00161013
582,0.942798,0.849392,0.0015644
583,0.955278,0.838622,0.0015136
584,0.967218,0.827581,0.00145853
585,0.9786,0.8163,0.0014
586,0.989386,0.804795,0.00133667
587,0.999549,0.793082,0.00127
588,1.00909,0.781192,0.001205
589,1.01801,0.769155,0.00114667
590,1.0263,0.757,0.0011
591,1.03398,0.744754,0.0010688
592,1.04099,0.732422,0.0010494
593,1.04719,0.720004,0.0010356
594,1.05247,0.707496,0.0010212
595,1.0567,0.6949,0.001
596,1.05979,0.682219,0.00096864
597,1.0618,0.669472,0.00092992
598,1.06281,0.656674,0.00088688
599,1.06291,0.643845,0.00084256
600,1.0622,0.631,0.0008
601,1.06074,0.618155,0.00076096
602,1.05844,0.605314,0.00072368
603,1.05522,0.592476,0.00068592
604,1.05098,0.579638,0.00064544
605,1.0456,0.5668,0.0006
606,1.03904,0.553961,0.000547867
607,1.03136,0.541137,0.0004916
608,1.02267,0.528353,0.0004354
609,1.01305,0.515632,0.000383467
610,1.0026,0.503,0.00034
611,0.991367,0.490469,0.000307253
612,0.979331,0.47803,0.00028316
613,0.966492,0.465678,0.00026544
614,0.952848,0.453403,0.000251813
615,0.9384,0.4412,0.00024
616,0.923194,0.42908,0.000229547
617,0.907244,0.417036,0.00022064
618,0.890502,0.405032,0.00021196
619,0.87292,0.393032,0.000202187
620,0.85445,0.381,0.00019
621,0.835084,0.368918,0.000174213
622,0.814946,0.356827,0.00015564
623,0.794186,0.344777,0.00013596
624,0.772954,0.332818,0.000116853
625,0.7514,0.321,0.0001
626,0.729584,0.309338,8.61333e-05
627,0.707589,0.29785,7.46e-05
628,0.685602,0.286594,6.5e-05
629,0.66381,0.275624,5.69333e-05
630,0.6424,0.265,5e-05
631,0.621515,0.254763,4.416e-05
632,0.601114,0.24489,3.948e-05
633,0.581105,0.235334,3.572e-05
634,0.561398,0.226053,3.264e-05
635,0.5419,0.217,3e-05
636,0.522599,0.208162,2.76533e-05
637,0.503546,0.199549,2.556e-05
638,0.484744,0.191155,2.364e-05
639,0.466194,0.182974,2.18133e-05
640,0.4479,0.175,2e-05
641,0.429861,0.167223,1.81333e-05
642,0.412098,0.159646,1.62e-05
643,0.394644,0.152278,1.42e-05
644,0.377533,0.145126,1.21333e-05
645,0.3608,0.1382,1e-05
646,0.344456,0.1315,7.73333e-06
647,0.328517,0.125025,5.4e-06
648,0.313019,0.118779,3.2e-06
649,0.298001,0.112769,1.33333e-06
650,0.2835,0.107,0
651,0.269545,0.101476,0
652,0.256118,0.0961886,0
653,0.24319,0.091123,0
654,0.230727,0.0862649,0
655,0.2187,0.0816,0
656,0.207097,0.0771206,0
657,0.195923,0.0728255,0
658,0.185171,0.0687101,0
659,0.174832,0.0647698,0
660,0.1649,0.061,0
661,0.155367,0.0573962,0
662,0.14623,0.053955,0
663,0.13749,0.0506738,0
664,0.129147,0.0475496,0
665,0.1212,0.04458,0
666,0.11364,0.0417587,0
667,0.106465,0.039085,0
668,0.0996904,0.0365638,0
669,0.0933306,0.0342005,0
670,0.0874,0.032,0
671,0.081901,0.0299626,0
672,0.0768043,0.0280766,0
673,0.0720771,0.0263294,0
674,0.0676866,0.024708,0
675,0.0636,0.0232,0
676,0.0598069,0.0218008,0
677,0.0562822,0.0205011,0
678,0.052971,0.0192811,0
679,0.0498186,0.0181207,0
680,0.04677,0.017,0
681,0.043784,0.0159038,0
682,0.0408754,0.0148372,0
683,0.0380726,0.0138107,0
684,0.0354046,0.0128348,0
685,0.0329,0.01192,0
686,0.0305642,0.0110683,0
687,0.0283806,0.0102734,0
688,0.0263448,0.00953331,0
689,0.0244527,0.00884616,0
690,0.0227,0.00821,0
691,0.0210843,0.00762378,0
692,0.0195999,0.00708542,0
693,0.0182373,0.00659148,0
694,0.0169872,0.00613848,0
695,0.01584,0.005723,0
696,0.0147906,0.00534306,0
697,0.0138313,0.0049958,0
698,0.0129487,0.0046764,0
699,0.0121292,0.00438007,0
700,0.0113592,0.004102,0
701,0.0106293,0.00383845,0
702,0.00993885,0.0035891,0
703,0.00928842,0.00335422,0
704,0.00867885,0.00313409,0
705,0.00811092,0.002929,0
706,0.00758239,0.00273814,0
707,0.00708875,0.00255988,0
708,0.00662731,0.00239324,0
709,0.00619541,0.00223727,0
710,0.00579035,0.002091,0
711,0.00540983,0.00195359,0
712,0.00505258,0.00182458,0
713,0.00471751,0.00170358,0
714,0.00440351,0.00159019,0
715,0.00410946,0.001484,0
716,0.00383391,0.0013845,0
717,0.00357575,0.00129127,0
718,0.00333434,0.00120409,0
719,0.00310908,0.00112274,0
720,0.00289933,0.001047,0
721,0.00270435,0.00097659,0
722,0.00252302,0.000911109,0
723,0.00235417,0.000850133,0
724,0.00219662,0.000793238,0
725,0.00204919,0.00074,0
726,0.00191096,0.000690083,0
727,0.00178144,0.00064331,0
728,0.00166011,0.000599496,0
729,0.00154646,0.000558455,0
730,0.00143997,0.00052,0
731,0.00134004,0.000483914,0
732,0.00124628,0.000450053,0
733,0.00115847,0.000418345,0
734,0.00107643,0.000388718,0
735,0.000999949,0.0003611,0
736,0.000928736,0.000335383,0
737,0.000862433,0.00031144,0
738,0.00080075,0.000289166,0
739,0.000743396,0.000268454,0
740,0.000690079,0.0002492,0
741,0.000640516,0.000231302,0
742,0.000594502,0.000214686,0
743,0.000551865,0.000199288,0
744,0.000512429,0.000185048,0
745,0.000476021,0.0001719,0
746,0.000442454,0.000159778,0
747,0.000411512,0.000148604,0
748,0.000382981,0.000138302,0
749,0.000356649,0.000128793,0
750,0.000332301,0.00012,0
751,0.000309759,0.000111859,0
752,0.000288887,0.000104322,0
753,0.000269539,9.73356e-05,0
754,0.000251568,9.08459e-05,0
755,0.000234826,8.48e-05,0
756,0.000219171,7.91467e-05,0
757,0.000204526,7.3858e-05,0
758,0.00019084,6.8916e-05,0
759,0.000178065,6.43027e-05,0
760,0.000166151,6e-05,0
761,0.000155024,5.59819e-05,0
762,0.000144622,5.22256e-05,0
763,0.00013491,4.87184e-05,0
764,0.000125852,4.54475e-05,0
765,0.000117413,4.24e-05,0
766,0.000109552,3.9561e-05,0
767,0.000102224,3.69151e-05,0
768,9.53945e-05,3.44487e-05,0
769,8.90239e-05,3.21482e-05,0
770,8.30753e-05,3e-05,0
771,7.75127e-05,2.79913e-05,0
772,7.2313e-05,2.61136e-05,0
773,6.74578e-05,2.43602e-05,0
774,6.29284e-05,2.27246e-05,0
775,5.87065e-05,2.12e-05,0
776,5.47703e-05,1.97786e-05,0
777,5.10992e-05,1.84529e-05,0
778,4.76765e-05,1.72169e-05,0
779,4.44857e-05,1.60646e-05,0
780,4.15099e-05,1.499e-05,0
781,3.87332e-05,1.39873e-05,0
782,3.6142e-05,1.30516e-05,0
783,3.37235e-05,1.21782e-05,0
784,3.14649e-05,1.13625e-05,0
785,2.93533e-05,1.06e-05,0
786,2.73757e-05,9.88588e-06,0
787,2.55243e-05,9.2173e-06,0
788,2.37938e-05,8.59236e-06,0
789,2.21787e-05,8.00913e-06,0
790,2.06738e-05,7.4657e-06,0
791,1.92723e-05,6.95957e-06,0
792,1.79664e-05,6.488e-06,0
793,1.67499e-05,6.0487e-06,0
794,1.56165e-05,5.6394e-06,0
795,1.45598e-05,5.2578e-06,0
796,1.35739e-05,4.90177e-06,0
797,1.26544e-05,4.56972e-06,0
798,1.17972e-05,4.26019e-06,0
799,1.09984e-05,3.97174e-06,0
800,1.0254e-05,3.7029e-06,0
801,9.55965e-06,3.45216e-06,0
802,8.91204e-06,3.2183e-06,0
803,8.30836e-06,3.0003e-06,0
804,7.74577e-06,2.79714e-06,0
805,7.22146e-06,2.6078e-06,0
806,6.73248e-06,2.43122e-06,0
807,6.27642e-06,2.26653e-06,0
808,5.8513e-06,2.11301e-06,0
809,5.45512e-06,1.96994e-06,0
810,5.08587e-06,1.8366e-06,0
811,4.74147e-06,1.71223e-06,0
812,4.42024e-06,1.59623e-06,0
813,4.12078e-06,1.48809e-06,0
814,3.84172e-06,1.38731e-06,0
815,3.58165e-06,1.2934e-06,0
816,3.33913e-06,1.20582e-06,0
817,3.11295e-06,1.12414e-06,0
818,2.90212e-06,1.04801e-06,0
819,2.70565e-06,9.77058e-07,0
820,2.52253e-06,9.1093e-07,0
821,2.35173e-06,8.49251e-07,0
822,2.19242e-06,7.91721e-07,0
823,2.0439e-06,7.3809e-07,0
824,1.9055e-06,6.8811e-07,0
825,1.77651e-06,6.4153e-07,0
826,1.65621e-06,5.9809e-07,0
827,1.54402e-06,5.57575e-07,0
828,1.43944e-06,5.19808e-07,0
829,1.34198e-06,4.84612e-07,0
830,1.25114e-06,4.5181e-07,0
