water_type,wavelength_nm,quantity,value_per_m,unit,status,note
IB,316,b,0.17,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,317,a,0.117,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,317,b,0.169,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,318,a,0.115,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,318,b,0.169,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,319,a,0.114,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,319,b,0.168,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,320,a,0.112,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,320,b,0.168,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,321,a,0.111,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,321,b,0.167,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,322,a,0.109,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,322,b,0.167,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,323,a,0.108,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,323,b,0.167,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,324,a,0.106,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,324,b,0.166,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,325,a,0.105,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,325,b,0.166,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,326,a,0.103,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,326,b,0.165,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,327,a,0.102,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,327,b,0.165,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,328,a,0.1,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,328,b,0.165,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,329,a,0.0989,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,329,b,0.164,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,330,a,0.0975,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,330,b,0.164,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,331,a,0.0961,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,331,b,0.163,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,332,a,0.0948,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,332,b,0.163,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,333,a,0.0934,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,333,b,0.163,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,334,a,0.092,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,334,b,0.162,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,335,a,0.0907,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,335,b,0.162,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,336,a,0.0894,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,336,b,0.161,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,337,a,0.0881,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,337,b,0.161,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,338,a,0.0868,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,338,b,0.161,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,339,a,0.0854,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,339,b,0.16,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,340,a,0.0841,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,340,b,0.16,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,341,a,0.0828,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,341,b,0.16,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,342,a,0.0815,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,342,b,0.159,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,343,a,0.0802,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,343,b,0.159,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,344,a,0.0789,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,344,b,0.159,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,345,a,0.0776,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,345,b,0.158,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,346,a,0.0763,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,346,b,0.158,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,347,a,0.075,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,347,b,0.158,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,348,a,0.0738,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,348,b,0.157,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,349,a,0.0726,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,349,b,0.157,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,350,a,0.0714,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,350,b,0.157,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,351,a,0.0702,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,351,b,0.156,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,352,a,0.0691,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,352,b,0.156,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,353,a,0.068,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,353,b,0.156,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,354,a,0.067,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,354,b,0.155,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,355,a,0.066,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,355,b,0.155,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,356,a,0.0651,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,356,b,0.155,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,357,a,0.0642,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,357,b,0.154,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,358,a,0.0634,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,358,b,0.154,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,359,a,0.0625,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,359,b,0.154,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,360,a,0.0617,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,360,b,0.154,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,361,a,0.061,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,361,b,0.153,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,362,a,0.0603,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,362,b,0.153,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,363,a,0.0597,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,363,b,0.153,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,364,a,0.059,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,364,b,0.152,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,365,a,0.0584,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,365,b,0.152,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,366,a,0.0578,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,366,b,0.152,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,367,a,0.0573,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,367,b,0.152,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,368,a,0.0567,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,368,b,0.151,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,369,a,0.0561,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,369,b,0.151,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,370,a,0.0556,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,370,b,0.151,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,371,a,0.055,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,371,b,0.151,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,372,a,0.0545,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,372,b,0.15,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,373,a,0.0541,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,373,b,0.15,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,374,a,0.0537,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,374,b,0.15,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,375,a,0.0532,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,375,b,0.149,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,376,a,0.0528,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,376,b,0.149,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,377,a,0.0524,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,377,b,0.149,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,378,a,0.052,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,378,b,0.149,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,379,a,0.0515,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,379,b,0.148,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,380,a,0.0511,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,380,b,0.148,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,381,a,0.0508,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,381,b,0.148,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,382,a,0.0504,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,382,b,0.148,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,383,a,0.05,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,383,b,0.147,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,384,a,0.0496,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,384,b,0.147,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,385,a,0.0493,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,385,b,0.147,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,386,a,0.0489,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,386,b,0.147,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,387,a,0.0485,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,387,b,0.147,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,388,a,0.0482,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,388,b,0.146,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,389,a,0.0479,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,389,b,0.146,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,390,a,0.0476,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,390,b,0.146,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,391,a,0.0472,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,391,b,0.146,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,392,a,0.0469,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,392,b,0.145,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,393,a,0.0465,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,393,b,0.145,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,394,a,0.0462,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,394,b,0.145,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,395,a,0.0459,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,395,b,0.145,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,396,a,0.0456,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,396,b,0.144,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,397,a,0.0454,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,397,b,0.144,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,398,a,0.0451,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,398,b,0.144,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,399,a,0.045,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,399,b,0.144,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,400,a,0.0448,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,400,b,0.144,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,401,a,0.0446,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,401,b,0.143,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,402,a,0.0444,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,402,b,0.143,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,403,a,0.0442,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,403,b,0.143,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,404,a,0.0441,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,404,b,0.143,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,405,a,0.044,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,405,b,0.143,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,406,a,0.0439,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,406,b,0.142,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,407,a,0.0438,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,407,b,0.142,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,408,a,0.0437,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,408,b,0.142,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,409,a,0.0436,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,409,b,0.142,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,410,a,0.0436,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,410,b,0.142,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,411,a,0.0435,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,411,b,0.141,1/m,model_extrapolation,実測点は412-715 nmのみ。この波長はモデルによる外挿
IB,412,a,0.0434,1/m,ok,
IB,412,b,0.141,1/m,ok,
IB,413,a,0.0434,1/m,ok,
IB,413,b,0.141,1/m,ok,
IB,414,a,0.0434,1/m,ok,
IB,414,b,0.141,1/m,ok,
IB,415,a,0.0433,1/m,ok,
IB,415,b,0.141,1/m,ok,
IB,416,a,0.0432,1/m,ok,
IB,416,b,0.14,1/m,ok,
IB,417,a,0.0431,1/m,ok,
IB,417,b,0.14,1/m,ok,
IB,418,a,0.0431,1/m,ok,
IB,418,b,0.14,1/m,ok,
IB,419,a,0.043,1/m,ok,
IB,419,b,0.14,1/m,ok,
IB,420,a,0.043,1/m,ok,
IB,420,b,0.14,1/m,ok,
IB,421,a,0.043,1/m,ok,
IB,421,b,0.139,1/m,ok,
IB,422,a,0.0429,1/m,ok,
IB,422,b,0.139,1/m,ok,
IB,423,a,0.0429,1/m,ok,
IB,423,b,0.139,1/m,ok,
IB,424,a,0.0428,1/m,ok,
IB,424,b,0.139,1/m,ok,
IB,425,a,0.0428,1/m,ok,
IB,425,b,0.139,1/m,ok,
IB,426,a,0.0428,1/m,ok,
IB,426,b,0.139,1/m,ok,
IB,427,a,0.0427,1/m,ok,
IB,427,b,0.138,1/m,ok,
IB,428,a,0.0427,1/m,ok,
IB,428,b,0.138,1/m,ok,
IB,429,a,0.0427,1/m,ok,
IB,429,b,0.138,1/m,ok,
IB,430,a,0.0426,1/m,ok,
IB,430,b,0.138,1/m,ok,
IB,431,a,0.0426,1/m,ok,
IB,431,b,0.138,1/m,ok,
IB,432,a,0.0426,1/m,ok,
IB,432,b,0.137,1/m,ok,
IB,433,a,0.0426,1/m,ok,
IB,433,b,0.137,1/m,ok,
IB,434,a,0.0426,1/m,ok,
IB,434,b,0.137,1/m,ok,
IB,435,a,0.0426,1/m,ok,
IB,435,b,0.137,1/m,ok,
IB,436,a,0.0425,1/m,ok,
IB,436,b,0.137,1/m,ok,
IB,437,a,0.0425,1/m,ok,
IB,437,b,0.137,1/m,ok,
IB,438,a,0.0425,1/m,ok,
IB,438,b,0.136,1/m,ok,
IB,439,a,0.0424,1/m,ok,
IB,439,b,0.136,1/m,ok,
IB,440,a,0.0423,1/m,ok,
IB,440,b,0.136,1/m,ok,
IB,441,a,0.0422,1/m,ok,
IB,441,b,0.136,1/m,ok,
IB,442,a,0.0421,1/m,ok,
IB,442,b,0.136,1/m,ok,
IB,443,a,0.0419,1/m,ok,
IB,443,b,0.136,1/m,ok,
IB,444,a,0.0418,1/m,ok,
IB,444,b,0.135,1/m,ok,
IB,445,a,0.0416,1/m,ok,
IB,445,b,0.135,1/m,ok,
IB,446,a,0.0414,1/m,ok,
IB,446,b,0.135,1/m,ok,
IB,447,a,0.0413,1/m,ok,
IB,447,b,0.135,1/m,ok,
IB,448,a,0.0411,1/m,ok,
IB,448,b,0.135,1/m,ok,
IB,449,a,0.0409,1/m,ok,
IB,449,b,0.135,1/m,ok,
IB,450,a,0.0407,1/m,ok,
IB,450,b,0.135,1/m,ok,
IB,451,a,0.0405,1/m,ok,
IB,451,b,0.134,1/m,ok,
IB,452,a,0.0403,1/m,ok,
IB,452,b,0.134,1/m,ok,
IB,453,a,0.0402,1/m,ok,
IB,453,b,0.134,1/m,ok,
IB,454,a,0.04,1/m,ok,
IB,454,b,0.134,1/m,ok,
IB,455,a,0.0398,1/m,ok,
IB,455,b,0.134,1/m,ok,
IB,456,a,0.0397,1/m,ok,
IB,456,b,0.134,1/m,ok,
IB,457,a,0.0395,1/m,ok,
IB,457,b,0.133,1/m,ok,
IB,458,a,0.0393,1/m,ok,
IB,458,b,0.133,1/m,ok,
IB,459,a,0.0392,1/m,ok,
IB,459,b,0.133,1/m,ok,
IB,460,a,0.039,1/m,ok,
IB,460,b,0.133,1/m,ok,
IB,461,a,0.0389,1/m,ok,
IB,461,b,0.133,1/m,ok,
IB,462,a,0.0387,1/m,ok,
IB,462,b,0.133,1/m,ok,
IB,463,a,0.0385,1/m,ok,
IB,463,b,0.133,1/m,ok,
IB,464,a,0.0384,1/m,ok,
IB,464,b,0.132,1/m,ok,
IB,465,a,0.0383,1/m,ok,
IB,465,b,0.132,1/m,ok,
IB,466,a,0.0381,1/m,ok,
IB,466,b,0.132,1/m,ok,
IB,467,a,0.038,1/m,ok,
IB,467,b,0.132,1/m,ok,
IB,468,a,0.0379,1/m,ok,
IB,468,b,0.132,1/m,ok,
IB,469,a,0.0378,1/m,ok,
IB,469,b,0.132,1/m,ok,
IB,470,a,0.0376,1/m,ok,
IB,470,b,0.132,1/m,ok,
IB,471,a,0.0375,1/m,ok,
IB,471,b,0.131,1/m,ok,
IB,472,a,0.0375,1/m,ok,
IB,472,b,0.131,1/m,ok,
IB,473,a,0.0374,1/m,ok,
IB,473,b,0.131,1/m,ok,
IB,474,a,0.0373,1/m,ok,
IB,474,b,0.131,1/m,ok,
IB,475,a,0.0372,1/m,ok,
IB,475,b,0.131,1/m,ok,
IB,476,a,0.0371,1/m,ok,
IB,476,b,0.131,1/m,ok,
IB,477,a,0.0371,1/m,ok,
IB,477,b,0.131,1/m,ok,
IB,478,a,0.0371,1/m,ok,
IB,478,b,0.13,1/m,ok,
IB,479,a,0.037,1/m,ok,
IB,479,b,0.13,1/m,ok,
IB,480,a,0.037,1/m,ok,
